dataset,k_name,k,n,L,linear_regret,linear_regret_per_k
ICLR,k10pct,371,3710,10.585058267298152,1.2976073217926682,0.003497593859279429
ICLR,k10pct,371,3710,10.918389864347025,1.2646903988986082,0.003408868999726707
ICLR,k10pct,371,3710,11.251721461395897,1.231773476004605,0.0033201441401741376
ICLR,k10pct,371,3710,11.585053058444771,1.198856553110545,0.003231419280621415
ICLR,k10pct,371,3710,11.918384655493643,1.165939630216542,0.003142694421068846
ICLR,k10pct,371,3710,12.251716252542515,1.1330227073225387,0.0030539695615162767
ICLR,k10pct,371,3710,12.585047849591389,1.1001057844284787,0.0029652447019635547
ICLR,k10pct,371,3710,12.91837944664026,1.0674801843617843,0.0028773050791422758
ICLR,k33pct,1237,3710,1.0597734437569564,69.50383748838453,0.05618741914986623
ICLR,k33pct,1237,3710,1.4697102635477792,57.737071004465406,0.046675077610723856
ICLR,k33pct,1237,3710,1.879647083338602,47.44881099762097,0.03835797170381647
ICLR,k33pct,1237,3710,2.289583903129425,38.446605935190746,0.031080522178812246
ICLR,k33pct,1237,3710,2.699520722920248,30.45125086526309,0.024617017676041304
ICLR,k33pct,1237,3710,3.027924125019876,26.39547927641297,0.021338301759428434
ICLR,k33pct,1237,3710,3.1094575427110707,25.43019793778035,0.02055796114614418
ICLR,k33pct,1237,3710,3.3188071902624534,22.96858966972468,0.018567978714409603
ICLR,k33pct,1237,3710,3.5193943625018935,20.620098540468916,0.016669441018972445
ICLR,k33pct,1237,3710,3.9293311822927164,16.052927530972397,0.012977306007253353
ICLR,k33pct,1237,3710,4.339268002083539,13.940734229113218,0.011269793232912868
ICLR,k33pct,1237,3710,4.749204821874362,12.24991451109122,0.00990292199764852
ICLR,k33pct,1237,3710,5.159141641665185,10.662940195073588,0.00862000015769894
ICLR,k33pct,1237,3710,5.439164811269384,9.798586335735308,0.007921250069309061
ICLR,k33pct,1237,3710,5.569078461456008,9.398947247597107,0.007598178858202997
ICLR,k33pct,1237,3710,5.979015281246831,8.270679164769604,0.0066860785487223955
ICLR,k33pct,1237,3710,6.3889521010376535,7.244325077469057,0.0058563662711956805
ICLR,k33pct,1237,3710,6.798888920828476,6.620100360864626,0.005351738367715947
ICLR,k33pct,1237,3710,7.208825740619299,6.064081657426414,0.004902248712551668
ICLR,k33pct,1237,3710,7.618762560410122,5.510785006995093,0.004454959585283018
ICLR,k33pct,1237,3710,8.028699380200944,4.967710751905543,0.00401593431843617
ICLR,k33pct,1237,3710,8.426086900610898,4.510795676307794,0.003646560773086333
ICLR,k33pct,1237,3710,8.438636199991768,4.496366526470638,0.0036348961410433613
ICLR,k33pct,1237,3710,8.848573019782592,4.0250223010359605,0.0032538579636507362
ICLR,k33pct,1237,3710,9.258509839573414,3.553678075601283,0.0028728197862581107
ICLR,k33pct,1237,3710,9.668446659364236,3.0823338501663784,0.0024917816088653017
ICLR,k33pct,1237,3710,10.07838347915506,2.6637631229028784,0.00215340591988915
ICLR,k33pct,1237,3710,10.488320298945883,2.366317492457256,0.0019129486600301178
ICLR,k33pct,1237,3710,10.898257118736705,2.272473706695564,0.0018370846456714342
ICLR,k33pct,1237,3710,11.308193938527527,2.1786299209334175,0.0017612206313123828
ICLR,k33pct,1237,3710,11.413008989952411,2.154635391153306,0.0017418232749824623
ICLR,k33pct,1237,3710,11.71813075831835,2.0847861351714982,0.0016853566169535152
ICLR,k33pct,1237,3710,12.128067578109174,1.990942349409579,0.0016094926025946475
ICLR,k33pct,1237,3710,12.538004397899996,1.8970985636476598,0.00153362858823578
ICLR,k33pct,1237,3710,12.947941217690818,1.8032547778852859,0.0014577645738765449
ICLR,k33pct,1237,3710,13.357878037481642,1.7094109921238214,0.0013819005595180449
ICLR,k33pct,1237,3710,13.767814857272466,1.6155672063614475,0.0013060365451588096
ICLR,k33pct,1237,3710,14.177751677063288,1.5217234205997556,0.0012301725308001257
ICLR,k33pct,1237,3710,14.58768849685411,1.427879634837609,0.0011543085164410743
ICLR,k33pct,1237,3710,14.997625316644934,1.3340358490756898,0.0010784445020822068
ICLR,k33pct,1237,3710,15.407562136435756,1.2401920633137706,0.0010025804877233392
ICLR,k50pct,1855,3710,1.370297247689471,65.86318553783121,0.035505760397752675
ICLR,k50pct,1855,3710,1.769210151286526,54.72204324718086,0.029499753772065155
ICLR,k50pct,1855,3710,2.168123054883581,45.30429780196255,0.024422802049575497
ICLR,k50pct,1855,3710,2.567035958480636,37.45465433940171,0.020191188323127607
ICLR,k50pct,1855,3710,2.9659488620776906,31.011385556587584,0.016717728062850448
ICLR,k50pct,1855,3710,3.3648617656747453,26.212322096394473,0.014130631857894595
ICLR,k50pct,1855,3710,3.7637746692718004,22.484063199944103,0.012120788787031862
ICLR,k50pct,1855,3710,3.915134993398489,21.176918809095696,0.01141612873805698
ICLR,k50pct,1855,3710,4.162687572868855,19.21778591853922,0.010359992408916023
ICLR,k50pct,1855,3710,4.561600476465911,16.247210504345276,0.00875860404546915
ICLR,k50pct,1855,3710,4.940364141122334,14.02074962976144,0.0075583555955587274
ICLR,k50pct,1855,3710,4.960513380062965,13.907809455748293,0.0074974714047160605
ICLR,k50pct,1855,3710,5.35942628366002,12.154963431947635,0.006552540933664494
ICLR,k50pct,1855,3710,5.758339187257075,11.00196395219018,0.0059309778718006365
ICLR,k50pct,1855,3710,6.157252090854129,9.848964472432954,0.005309414809936902
ICLR,k50pct,1855,3710,6.556164994451185,8.6959649926755,0.004687851748073045
ICLR,k50pct,1855,3710,6.9550778980482395,7.548315241275759,0.004069172636806339
ICLR,k50pct,1855,3710,7.353990801645294,6.4048886793086695,0.0034527701775248893
ICLR,k50pct,1855,3710,7.75290370524235,5.609460186592969,0.0030239677555757246
ICLR,k50pct,1855,3710,8.151816608839404,5.263284632664636,0.0028373502062882133
ICLR,k50pct,1855,3710,8.55072951243646,4.917109078736075,0.0026507326570005796
ICLR,k50pct,1855,3710,8.949642416033514,4.673536336491225,0.002519426596491226
ICLR,k50pct,1855,3710,9.348555319630568,4.456517642120161,0.002402435386587688
ICLR,k50pct,1855,3710,9.747468223227624,4.239498947748871,0.0022854441766840274
ICLR,k50pct,1855,3710,10.146381126824679,4.02248025337758,0.0021684529667803667
ICLR,k50pct,1855,3710,10.162478082991262,4.013723102683343,0.0021637321308266002
ICLR,k50pct,1855,3710,10.545294030421735,3.805461559006062,0.002051461756876583
ICLR,k50pct,1855,3710,10.759849735416516,3.688737836739847,0.0019885379173799713
ICLR,k50pct,1855,3710,10.944206934018789,3.5884428646347715,0.0019344705469729227
ICLR,k50pct,1855,3710,11.343119837615843,3.371424170263708,0.0018174793370693844
ICLR,k50pct,1855,3710,11.357221387841772,3.3637525707963505,0.0018133437039333426
ICLR,k50pct,1855,3710,11.742032741212899,3.196649451840358,0.0017232611600217563
ICLR,k50pct,1855,3710,12.140945644809953,3.062894609934574,0.0016511561239539482
ICLR,k50pct,1855,3710,12.539858548407008,2.9291397680290174,0.0015790510878862629
ICLR,k50pct,1855,3710,12.938771452004064,2.7983709532068133,0.0015085557699228104
ICLR,k50pct,1855,3710,13.337684355601118,2.6681244445785524,0.001438342018640729
ICLR,k50pct,1855,3710,13.736597259198174,2.537877935950746,0.0013681282673588928
ICLR,k50pct,1855,3710,14.135510162795228,2.40763142732294,0.0012979145160770566
ICLR,k50pct,1855,3710,14.534423066392282,2.277384918695134,0.0012277007647952204
ICLR,k50pct,1855,3710,14.933335969989338,2.1503774856494147,0.0011592331459026495
ICLR,k50pct,1855,3710,15.332248873586392,2.047327382466392,0.0011036805296314781
NeurIPS,k10pct,403,4034,1.3258180962282624,22.810410273199494,0.05660151432555706
NeurIPS,k10pct,403,4034,1.7271404205507148,18.972192156779215,0.04707739989275239
NeurIPS,k10pct,403,4034,2.128462744873167,16.222691740754698,0.0402548182152722
NeurIPS,k10pct,403,4034,2.5297850691956194,13.874656357241605,0.03442842768546304
NeurIPS,k10pct,403,4034,2.931107393518072,11.548939651368187,0.02865741848974736
NeurIPS,k10pct,403,4034,3.332429717840524,10.020195983652059,0.0248640098849927
NeurIPS,k10pct,403,4034,3.733752042162976,8.857392797934779,0.02197864217849821
NeurIPS,k10pct,403,4034,3.7880517035093213,8.70294387114933,0.021595394221214217
NeurIPS,k10pct,403,4034,3.8465092512126455,8.53666833127636,0.021182799829469877
NeurIPS,k10pct,403,4034,4.135074366485429,7.752313103487495,0.019236508941656315
NeurIPS,k10pct,403,4034,4.536396690807881,6.675067753878238,0.016563443558010517
NeurIPS,k10pct,403,4034,4.937719015130334,5.709773523067611,0.014168172513815412
NeurIPS,k10pct,403,4034,5.339041339452786,4.789455039799691,0.011884503820842905
NeurIPS,k10pct,403,4034,5.740363663775239,4.0770212419031395,0.010116678019610768
NeurIPS,k10pct,403,4034,5.779110691688948,4.032028503857532,0.010005033508331346
NeurIPS,k10pct,403,4034,6.141685988097691,3.6110089776768177,0.008960320043863072
NeurIPS,k10pct,403,4034,6.5430083124201435,3.2227036293562037,0.007996783199395046
NeurIPS,k10pct,403,4034,6.944330636742595,2.8839151877795075,0.007156117091264287
NeurIPS,k10pct,403,4034,7.345652961065048,2.6317519788798336,0.006530401932704302
NeurIPS,k10pct,403,4034,7.7469752853875,2.436288835318919,0.00604538172535712
NeurIPS,k10pct,403,4034,8.148297609709951,2.2408256917580047,0.005560361518009938
NeurIPS,k10pct,403,4034,8.549619934032405,2.045362548197204,0.0050753413106630375
NeurIPS,k10pct,403,4034,8.582925511590435,2.0291411408818476,0.0050350896796075625
NeurIPS,k10pct,403,4034,8.950942258354857,1.8586354301038455,0.004611998585865622
NeurIPS,k10pct,403,4034,9.352264582677309,1.6847746196463618,0.004180582182745315
NeurIPS,k10pct,403,4034,9.753586906999763,1.5109138091887644,0.0037491657796247255
NeurIPS,k10pct,403,4034,10.154909231322215,1.3370529987312239,0.0033177493765042775
NeurIPS,k10pct,403,4034,10.556231555644667,1.163192188273797,0.0028863329733841117
NeurIPS,k10pct,403,4034,10.957553879967119,0.9893313778162565,0.0024549165702636637
NeurIPS,k10pct,403,4034,11.35887620428957,0.8612183227592141,0.002137018170618397
NeurIPS,k10pct,403,4034,11.386740331491922,0.8577166053986502,0.002128329045654219
NeurIPS,k10pct,403,4034,11.760198528612024,0.810783678241819,0.0020118701693345384
NeurIPS,k10pct,403,4034,12.161520852934476,0.7603490337244239,0.0018867221680506795
NeurIPS,k10pct,403,4034,12.562843177256928,0.7099143892070288,0.0017615741667668207
NeurIPS,k10pct,403,4034,12.96416550157938,0.6594797446895768,0.0016364261654828209
NeurIPS,k10pct,403,4034,13.365487825901834,0.6090451001722386,0.0015112781641991031
NeurIPS,k10pct,403,4034,13.766810150224286,0.5586104556548435,0.0013861301629152444
NeurIPS,k10pct,403,4034,14.168132474546738,0.5081758111373347,0.0012609821616311034
NeurIPS,k10pct,403,4034,14.56945479886919,0.4577411666199964,0.0011358341603473856
NeurIPS,k10pct,403,4034,14.970777123191642,0.4453852058879306,0.0011051742081586368
