dataset,k_name,rank_target,mechanism,item_idx,review_col,k,L,tick,l11_delta,utility_before,utility_after,utility_delta_abs,l1_prob_change,local_smoothness,softmax_search_samples,softmax_search_reps,softmax_final_samples,softmax_final_reps
NeurIPS,k33pct,k,linear,311,0,1345,0.4,0.1111111111111111,0.1111111111111111,0.5777777777777778,0.5555555555555556,0.022222222222222254,0.026660056188947873,0.23994050570053085,0,0,0,0
NeurIPS,k33pct,k,softmax,311,0,1345,0.4,0.1111111111111111,0.1111111111111111,0.5777777777777778,0.5555555555555556,0.022222222222222254,0.02086666666666705,0.18780000000000346,800,2,10000,3
NeurIPS,k33pct,k+1,linear,2055,0,1345,0.4,0.1111111111111111,0.1111111111111111,0.5777777777777778,0.5555555555555556,0.022222222222222254,0.026660056188947873,0.23994050570053085,0,0,0,0
NeurIPS,k33pct,k+1,softmax,2055,0,1345,0.4,0.1111111111111111,0.1111111111111111,0.5777777777777778,0.5555555555555556,0.022222222222222254,0.021133333333333077,0.1901999999999977,800,2,10000,3
NeurIPS,k33pct,k,linear,311,0,1345,0.6,0.1111111111111111,0.11111111111111116,0.5777777777777778,0.6,0.022222222222222143,0.03999008428364817,0.3599107585528334,0,0,0,0
NeurIPS,k33pct,k,softmax,311,0,1345,0.6,0.1111111111111111,0.1111111111111111,0.5777777777777778,0.5555555555555556,0.022222222222222254,0.03013333333333316,0.27119999999999844,800,2,10000,3
NeurIPS,k33pct,k+1,linear,2055,0,1345,0.6,0.1111111111111111,0.1111111111111111,0.5777777777777778,0.5555555555555556,0.022222222222222254,0.039990084283630364,0.3599107585526733,0,0,0,0
NeurIPS,k33pct,k+1,softmax,2055,0,1345,0.6,0.1111111111111111,0.11111111111111116,0.5777777777777778,0.6000000000000001,0.022222222222222254,0.03199999999999986,0.28799999999999865,800,2,10000,3
NeurIPS,k33pct,k,linear,311,0,1345,0.8,0.1111111111111111,0.11111111111111116,0.5777777777777778,0.6,0.022222222222222143,0.05332011237820783,0.47988101140387024,0,0,0,0
NeurIPS,k33pct,k,softmax,311,0,1345,0.8,0.1111111111111111,0.1111111111111111,0.5777777777777778,0.5555555555555556,0.022222222222222254,0.04166666666666737,0.3750000000000064,800,2,10000,3
NeurIPS,k33pct,k+1,linear,2055,0,1345,0.8,0.1111111111111111,0.11111111111111116,0.5777777777777778,0.6000000000000001,0.022222222222222254,0.05332011237820794,0.47988101140387124,0,0,0,0
NeurIPS,k33pct,k+1,softmax,2055,0,1345,0.8,0.1111111111111111,0.11111111111111116,0.5777777777777778,0.6000000000000001,0.022222222222222254,0.0426666666666673,0.3840000000000055,800,2,10000,3
NeurIPS,k33pct,k,linear,311,0,1345,1.0,0.1111111111111111,0.11111111111111116,0.5777777777777778,0.6,0.022222222222222143,0.06665013637493525,0.599851227374417,0,0,0,0
NeurIPS,k33pct,k,softmax,311,0,1345,1.0,0.1111111111111111,0.1111111111111111,0.5777777777777778,0.5555555555555556,0.022222222222222254,0.0525333333333328,0.4727999999999952,800,2,10000,3
NeurIPS,k33pct,k+1,linear,2055,0,1345,1.0,0.1111111111111111,0.11111111111111116,0.5777777777777778,0.6000000000000001,0.022222222222222254,0.06665013637493547,0.599851227374419,0,0,0,0
NeurIPS,k33pct,k+1,softmax,2055,0,1345,1.0,0.1111111111111111,0.1111111111111111,0.5777777777777778,0.5555555555555556,0.022222222222222254,0.050733333333333075,0.4565999999999977,800,2,10000,3
NeurIPS,k50pct,k,linear,212,0,2017,0.2,0.1111111111111111,0.11111111111111116,0.5555555555555556,0.5925925925925927,0.03703703703703709,0.02221671349070825,0.19995042141637417,0,0,0,0
NeurIPS,k50pct,k,softmax,212,0,2017,0.2,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5185185185185185,0.03703703703703709,0.021866666666738015,0.19680000000064216,800,2,10000,3
NeurIPS,k50pct,k+1,linear,1564,0,2017,0.2,0.1111111111111111,0.11111111111111105,0.5555555555555556,0.5277777777777778,0.02777777777777779,0.016662535118311228,0.14996281606480114,0,0,0,0
NeurIPS,k50pct,k+1,softmax,1564,0,2017,0.2,0.1111111111111111,0.11111111111111105,0.5555555555555556,0.5277777777777778,0.02777777777777779,0.01386666666673884,0.12480000000064963,800,2,10000,3
NeurIPS,k50pct,k,linear,212,0,2017,0.4,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5185185185185185,0.03703703703703709,0.0444334269819025,0.3999008428371225,0,0,0,0
NeurIPS,k50pct,k,softmax,212,0,2017,0.4,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5185185185185185,0.03703703703703709,0.038933333333468954,0.3504000000012206,800,2,10000,3
NeurIPS,k50pct,k+1,linear,1564,0,2017,0.4,0.1111111111111111,0.11111111111111105,0.5555555555555556,0.5833333333333334,0.02777777777777779,0.03332507023626169,0.29992563212635537,0,0,0,0
NeurIPS,k50pct,k+1,softmax,1564,0,2017,0.4,0.1111111111111111,0.11111111111111105,0.5555555555555556,0.5833333333333334,0.02777777777777779,0.032399999999999894,0.2915999999999992,800,2,10000,3
NeurIPS,k50pct,k,linear,212,0,2017,0.6,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5185185185185185,0.03703703703703709,0.06665014047275303,0.5998512642547773,0,0,0,0
NeurIPS,k50pct,k,softmax,212,0,2017,0.6,0.1111111111111111,0.11111111111111116,0.5555555555555556,0.5925925925925927,0.03703703703703709,0.06120000000000059,0.5508000000000051,800,2,10000,3
NeurIPS,k50pct,k+1,linear,1564,0,2017,0.6,0.1111111111111111,0.11111111111111105,0.5555555555555556,0.5833333333333334,0.02777777777777779,0.049987605354604725,0.44988844819144275,0,0,0,0
NeurIPS,k50pct,k+1,softmax,1564,0,2017,0.6,0.1111111111111111,0.11111111111111105,0.5555555555555556,0.5833333333333334,0.02777777777777779,0.04780000000000001,0.4302000000000003,800,2,10000,3
NeurIPS,k50pct,k,linear,212,0,2017,0.8,0.1111111111111111,0.11111111111111116,0.5555555555555556,0.5925925925925927,0.03703703703703709,0.08886685396358815,0.799801685672293,0,0,0,0
NeurIPS,k50pct,k,softmax,212,0,2017,0.8,0.1111111111111111,0.11111111111111116,0.5555555555555556,0.5925925925925927,0.03703703703703709,0.08846666666666658,0.7961999999999989,800,2,10000,3
NeurIPS,k50pct,k+1,linear,1564,0,2017,0.8,0.1111111111111111,0.11111111111111105,0.5555555555555556,0.5833333333333334,0.02777777777777779,0.0666501404727364,0.599851264254628,0,0,0,0
NeurIPS,k50pct,k+1,softmax,1564,0,2017,0.8,0.1111111111111111,0.11111111111111105,0.5555555555555556,0.5277777777777778,0.02777777777777779,0.06346666666666696,0.5712000000000029,800,2,10000,3
