k_name,alpha,beta,trial,n,r,k,L_multiplier,L,regret_linear,regret_softmax,regret_linear_per_k,regret_softmax_per_k
k10pct,4,4,10,200,5,20,1.0,0.2,3.220074690390488,4.924373945175084,0.1610037345195244,0.2462186972587542
k10pct,4,4,10,200,5,20,2.0,0.4,2.1115488179685915,4.248509276296568,0.10557744089842958,0.2124254638148284
k10pct,4,4,11,200,5,20,1.0,0.2,3.0602453310387023,4.96980361711076,0.15301226655193512,0.24849018085553798
k10pct,4,4,11,200,5,20,2.0,0.4,1.970501446686777,4.202868044435913,0.09852507233433885,0.21014340222179567
k10pct,4,4,12,200,5,20,1.0,0.2,3.083621493061523,4.998635330899573,0.15418107465307615,0.24993176654497865
k10pct,4,4,12,200,5,20,2.0,0.4,2.101054476816673,4.2562177033026405,0.10505272384083364,0.21281088516513202
k10pct,4,4,13,200,5,20,1.0,0.2,3.139340692472441,4.8280809861723615,0.15696703462362205,0.24140404930861808
k10pct,4,4,13,200,5,20,2.0,0.4,2.060206199126018,4.157916549731032,0.1030103099563009,0.2078958274865516
k10pct,4,4,14,200,5,20,1.0,0.2,2.7404740056107215,4.443062645237193,0.13702370028053606,0.22215313226185965
k10pct,4,4,14,200,5,20,2.0,0.4,1.802478192468735,3.809014889708358,0.09012390962343675,0.1904507444854179
k10pct,4,4,15,200,5,20,1.0,0.2,3.2480146194245467,4.734942471456602,0.16240073097122734,0.2367471235728301
k10pct,4,4,15,200,5,20,2.0,0.4,2.195409131100945,4.147703196938764,0.10977045655504725,0.2073851598469382
k10pct,4,4,16,200,5,20,1.0,0.2,3.2057503381399908,5.370842952472669,0.16028751690699955,0.2685421476236335
k10pct,4,4,16,200,5,20,2.0,0.4,2.1369537905076843,4.539399673247761,0.10684768952538422,0.22696998366238805
k10pct,4,4,17,200,5,20,1.0,0.2,3.1571165963019574,4.798539637940561,0.15785582981509788,0.23992698189702805
k10pct,4,4,17,200,5,20,2.0,0.4,2.1478629365039286,4.146957761631773,0.10739314682519643,0.20734788808158866
k10pct,4,4,18,200,5,20,1.0,0.2,3.3118156960347847,5.165831916049646,0.16559078480173922,0.2582915958024823
k10pct,4,4,18,200,5,20,2.0,0.4,2.0402005865594752,4.436442433003959,0.10201002932797376,0.22182212165019796
k10pct,4,4,19,200,5,20,1.0,0.2,3.5178536620825405,5.322187359598468,0.17589268310412703,0.2661093679799234
k10pct,4,4,19,200,5,20,2.0,0.4,2.4045317559679855,4.584947024804748,0.12022658779839927,0.2292473512402374
k10pct,5,5,0,200,5,20,1.0,0.2,3.158008367479484,4.581596036694849,0.1579004183739742,0.22907980183474247
k10pct,5,5,0,200,5,20,2.0,0.4,2.148384162423639,4.028993862377506,0.10741920812118196,0.2014496931188753
k10pct,5,5,1,200,5,20,1.0,0.2,3.0257711438547688,4.587317517903806,0.15128855719273843,0.22936587589519028
k10pct,5,5,1,200,5,20,2.0,0.4,2.1028180301992183,4.001454048995013,0.10514090150996092,0.20007270244975067
