dataset,k_name,L,mechanism,local_smoothness,l1_prob_change,utility_delta_abs,k,ratio_to_L
Beta,k50pct,1.0,linear,0.9905721483661194,0.11006357204067987,0.022222222222222143,100,0.9905721483661194
Beta,k50pct,1.0,softmax,0.8993999999999975,0.09993333333333305,0.022222222222222254,100,0.8993999999999975
ICLR,k10pct,0.2,linear,0.1199676462661062,0.013329738474011792,0.022222222222222365,371,0.5998382313305309
ICLR,k10pct,0.2,softmax,0.036000000000173914,0.004000000000019321,0.022222222222222365,371,0.18000000000086955
ICLR,k10pct,0.4,linear,0.23993476488227294,0.026659418320252534,0.022222222222222365,371,0.5998369122056824
ICLR,k10pct,0.4,softmax,0.07380000000017298,0.008200000000019214,0.022222222222222365,371,0.18450000000043243
ICLR,k10pct,0.6,linear,0.3598984198644442,0.03998871331827156,0.022222222222222143,371,0.5998306997740737
ICLR,k10pct,0.6,softmax,0.11459999999999985,0.01273333333333331,0.022222222222222143,371,0.19099999999999975
ICLR,k10pct,0.8,linear,0.47985756676605523,0.05331750741845055,0.022222222222222254,371,0.599821958457569
ICLR,k10pct,0.8,softmax,0.16320000000000087,0.01813333333333342,0.022222222222222143,371,0.20400000000000107
ICLR,k10pct,1.0,linear,0.5998050682263162,0.06664500758070176,0.022222222222222365,371,0.5998050682263162
ICLR,k10pct,1.0,softmax,0.2429999999999997,0.02699999999999995,0.022222222222222365,371,0.2429999999999997
ICLR,k33pct,0.2,linear,0.1999460916440798,0.022216232404897757,0.03703703703703709,1237,0.999730458220399
ICLR,k33pct,0.2,softmax,0.15060000000067944,0.016733333333408835,0.03703703703703698,1237,0.7530000000033972
ICLR,k33pct,0.4,linear,0.399892183288258,0.04443246480980642,0.03703703703703698,1237,0.9997304582206449
ICLR,k33pct,0.4,softmax,0.32759999999999984,0.03639999999999998,0.03703703703703709,1237,0.8189999999999995
ICLR,k33pct,0.6,linear,0.5998382749316779,0.06664869721463083,0.03703703703703698,1237,0.9997304582194632
ICLR,k33pct,0.6,softmax,0.4937999999999989,0.054866666666666515,0.03703703703703698,1237,0.8229999999999982
ICLR,k33pct,0.8,linear,0.7997841338366627,0.08886490375962919,0.03703703703703709,1237,0.9997301672958283
ICLR,k33pct,0.8,softmax,0.6504000000000026,0.07226666666666692,0.03703703703703698,1237,0.8130000000000033
ICLR,k33pct,1.0,linear,0.999729437229942,0.11108104858110461,0.03703703703703698,1237,0.999729437229942
ICLR,k33pct,1.0,softmax,0.8105999999999937,0.090066666666666,0.03703703703703698,1237,0.8105999999999937
ICLR,k50pct,0.2,linear,0.14995956873338678,0.016662174303709643,0.02777777777777779,1855,0.7497978436669339
ICLR,k50pct,0.2,softmax,0.15719999999999784,0.017466666666666426,0.02777777777777779,1855,0.7859999999999892
ICLR,k50pct,0.4,linear,0.29991913746667864,0.03332434860740874,0.02777777777777779,1855,0.7497978436666966
ICLR,k50pct,0.4,softmax,0.30059999999999926,0.03339999999999993,0.02777777777777779,1855,0.7514999999999981
ICLR,k50pct,0.6,linear,0.4498787062004109,0.049986522911156794,0.02777777777777779,1855,0.7497978436673516
ICLR,k50pct,0.6,softmax,0.47099999999999836,0.052333333333333176,0.02777777777777779,1855,0.7849999999999973
ICLR,k50pct,0.8,linear,0.5998382749336145,0.06664869721484609,0.02777777777777779,1855,0.7497978436670181
ICLR,k50pct,0.8,softmax,0.5759999999999964,0.06399999999999963,0.02777777777777779,1855,0.7199999999999954
ICLR,k50pct,1.0,linear,0.7497976800649037,0.08331085334054485,0.02777777777777779,1855,0.7497976800649037
ICLR,k50pct,1.0,softmax,0.7025999999999972,0.07806666666666635,0.02777777777777779,1855,0.7025999999999972
NeurIPS,k10pct,0.2,linear,0.1499628160643457,0.01666253511826064,0.02777777777777779,403,0.7498140803217285
NeurIPS,k10pct,0.2,softmax,0.03540000000000008,0.00393333333333334,0.02777777777777779,403,0.17700000000000038
NeurIPS,k10pct,0.4,linear,0.29992535456607394,0.03332503939623045,0.02777777777777779,403,0.7498133864151848
NeurIPS,k10pct,0.4,softmax,0.08819999999999965,0.009799999999999956,0.02777777777777779,403,0.2204999999999991
NeurIPS,k10pct,0.6,linear,0.44988455618348305,0.049987172909275915,0.02777777777777779,403,0.7498075936391384
NeurIPS,k10pct,0.6,softmax,0.1445999999999989,0.016066666666666552,0.02777777777777779,403,0.24099999999999816
NeurIPS,k10pct,0.8,linear,0.599836867863155,0.06664854087368385,0.02777777777777779,403,0.7497960848289438
NeurIPS,k10pct,0.8,softmax,0.20460000000000025,0.022733333333333373,0.02777777777777779,403,0.2557500000000003
NeurIPS,k10pct,1.0,linear,0.7497727272730436,0.0833080808081159,0.02777777777777779,403,0.7497727272730436
NeurIPS,k10pct,1.0,softmax,0.2688,0.02986666666666668,0.02777777777777779,403,0.2688
NeurIPS,k33pct,0.2,linear,0.11997025285202334,0.013330028094669266,0.022222222222222254,1345,0.5998512642601167
NeurIPS,k33pct,0.2,softmax,0.09180000000000138,0.010200000000000153,0.022222222222222254,1345,0.4590000000000069
NeurIPS,k33pct,0.4,linear,0.23994050570053085,0.026660056188947873,0.022222222222222254,1345,0.5998512642513271
NeurIPS,k33pct,0.4,softmax,0.1901999999999977,0.021133333333333077,0.022222222222222254,1345,0.47549999999999426
NeurIPS,k33pct,0.6,linear,0.3599107585528334,0.03999008428364817,0.022222222222222254,1345,0.5998512642547223
NeurIPS,k33pct,0.6,softmax,0.28799999999999865,0.03199999999999986,0.022222222222222254,1345,0.47999999999999776
NeurIPS,k33pct,0.8,linear,0.47988101140387124,0.05332011237820794,0.022222222222222254,1345,0.599851264254839
NeurIPS,k33pct,0.8,softmax,0.3840000000000055,0.0426666666666673,0.022222222222222254,1345,0.48000000000000687
